,rank,name,imdb_stub_link,imdb_full_link
37,838.,Claire Danes,/name/nm0000132,https://www.imdb.com/name/nm0000132
38,839.,Allison Janney,/name/nm0005049,https://www.imdb.com/name/nm0005049
39,840.,Kate Bosworth,/name/nm0098378,https://www.imdb.com/name/nm0098378
40,841.,Evan Rachel Wood,/name/nm0939697,https://www.imdb.com/name/nm0939697
41,842.,Mira Sorvino,/name/nm0000227,https://www.imdb.com/name/nm0000227
42,843.,Ziyi Zhang,/name/nm0955471,https://www.imdb.com/name/nm0955471
43,844.,Amanda Bynes,/name/nm0004789,https://www.imdb.com/name/nm0004789
44,845.,Lisa Kudrow,/name/nm0001435,https://www.imdb.com/name/nm0001435
45,846.,Brit Marling,/name/nm1779870,https://www.imdb.com/name/nm1779870
46,847.,Cynthia Erivo,/name/nm7248827,https://www.imdb.com/name/nm7248827
47,848.,Sofía Vergara,/name/nm0005527,https://www.imdb.com/name/nm0005527
48,849.,Mandy Moore,/name/nm0601553,https://www.imdb.com/name/nm0601553
49,850.,Virginia Madsen,/name/nm0000515,https://www.imdb.com/name/nm0000515
50,851.,James Marsden,/name/nm0005188,https://www.imdb.com/name/nm0005188
51,852.,Tim Allen,/name/nm0000741,https://www.imdb.com/name/nm0000741
52,853.,Giovanni Ribisi,/name/nm0000610,https://www.imdb.com/name/nm0000610
53,854.,Rutger Hauer,/name/nm0000442,https://www.imdb.com/name/nm0000442
54,855.,Vince Vaughn,/name/nm0000681,https://www.imdb.com/name/nm0000681
55,856.,Brian Cox,/name/nm0004051,https://www.imdb.com/name/nm0004051
56,857.,Dennis Quaid,/name/nm0000598,https://www.imdb.com/name/nm0000598
57,858.,John Leguizamo,/name/nm0000491,https://www.imdb.com/name/nm0000491
58,859.,Michael Keaton,/name/nm0000474,https://www.imdb.com/name/nm0000474
59,860.,Billy Burke,/name/nm0121605,https://www.imdb.com/name/nm0121605
60,861.,Brendan Gleeson,/name/nm0322407,https://www.imdb.com/name/nm0322407
61,862.,Charles Bronson,/name/nm0000314,https://www.imdb.com/name/nm0000314
62,863.,Jonathan Pryce,/name/nm0000596,https://www.imdb.com/name/nm0000596
63,864.,Tobey Maguire,/name/nm0001497,https://www.imdb.com/name/nm0001497
64,865.,Michael Sheen,/name/nm0790688,https://www.imdb.com/name/nm0790688
